prov,city,prov_city,land_price
Beijing,Shunyi,Beijing-Shunyi,50.66346727522227
Chongqing,Shizhutujiazu,Chongqing-Shizhutujiazu,8.877143525435981
Liaoning,Dalian,Liaoning-Dalian,18.119098804354838
Sichuan,Panzhihua,Sichuan-Panzhihua,9.244413336787977
Guangxi,Fangchenggang,Guangxi-Fangchenggang,6.0656134265144805
Hainan,Dongfang,Hainan-Dongfang,13.37961734780706
Guangdong,Yunfu,Guangdong-Yunfu,12.312917777090199
Qinghai,Hainanzangzu,Qinghai-Hainanzangzu,4.526910259192589
Shanghai,Minhang,Shanghai-Minhang,82.63842344749847
Shanxi,Shuozhou,Shanxi-Shuozhou,14.700769451924995
Beijing,Fengtai,Beijing-Fengtai,21.755865712519288
Yunnan,Xishuangbannadaizu,Yunnan-Xishuangbannadaizu,4.7497883769332425
Liaoning,Chaoyang,Liaoning-Chaoyang,12.167994196219865
Henan,Luohe,Henan-Luohe,51.01184391003246
Guangdong,Shanwei,Guangdong-Shanwei,17.372822976507887
Liaoning,Jinzhou,Liaoning-Jinzhou,19.47066357409118
Sichuan,Deyang,Sichuan-Deyang,48.071552298048175
Liaoning,Shenyang,Liaoning-Shenyang,25.060191605681787
Hubei,Wuhan,Hubei-Wuhan,42.79031617973349
Hubei,Huanggang,Hubei-Huanggang,29.755962300124356
Beijing,Huairou,Beijing-Huairou,6.305970094992013
Jiangxi,Fuzhou,Jiangxi-Fuzhou,13.27446467880834
