prov,city,prov_city,land_price
Henan,Shangqiu,Henan-Shangqiu,36.947679907081024
Chongqing,Yubei,Chongqing-Yubei,28.844070460859133
Hunan,Yongzhou,Hunan-Yongzhou,18.870974157173173
Beijing,Mentougou,Beijing-Mentougou,0.631893417265151
Tianjin,Dongli,Tianjin-Dongli,43.475512836596636
Sichuan,Luzhou,Sichuan-Luzhou,23.156899866846754
Anhui,Fuyang,Anhui-Fuyang,35.86395436982839
Chongqing,Yunyang,Chongqing-Yunyang,14.484789226259434
Gansu,Lanzhou,Gansu-Lanzhou,9.764403268148849
Tianjin,Jinnan,Tianjin-Jinnan,39.073516605751806
Shanghai,Fengxian,Shanghai-Fengxian,88.68309514111581
Beijing,Tongzhou,Beijing-Tongzhou,41.26897715048665
Shanxi,Tongchuan,Shanxi-Tongchuan,10.065196422382497
Zhejiang,Quzhou,Zhejiang-Quzhou,11.989172731957034
Neimenggu,Xilinguole,Neimenggu-Xilinguole,2.103107029871597
Hunan,Changsha,Hunan-Changsha,24.987079200459032
Tianjin,Jizhou,Tianjin-Jizhou,27.355855405687166
Tianjin,Nankai,Tianjin-Nankai,5.634964809214697
Chongqing,Rongchang,Chongqing-Rongchang,35.74007553278049
Zhejiang,Wenzhou,Zhejiang-Wenzhou,12.5352277165236
Hebei,Shijiazhuang,Hebei-Shijiazhuang,45.89266336477561
Hunan,Xiangtan,Hunan-Xiangtan,29.72146890127132
Tianjin,Jinghai,Tianjin-Jinghai,42.13112991421648
Shanxi,Jincheng,Shanxi-Jincheng,6.877206353186268
Shandong,Liaocheng,Shandong-Liaocheng,47.20781248443462
Liaoning,Huludao,Liaoning-Huludao,14.310851851529748
Beijing,Fangshan,Beijing-Fangshan,18.231256959713242
Shanxi,Weinan,Shanxi-Weinan,30.148998860464577
Chongqing,Xiushantujiazuandmiaozu,Chongqing-Xiushantujiazuandmiaozu,14.03526897748039
Shanxi,Yuncheng,Shanxi-Yuncheng,23.376178377855183
Fujian,Ningde,Fujian-Ningde,10.39435848465192
Chongqing,Youyangtujiazuandmiaozu,Chongqing-Youyangtujiazuandmiaozu,8.905565538312233
Guangdong,Maoming,Guangdong-Maoming,16.5983163758729
Guangdong,Yangjiang,Guangdong-Yangjiang,15.195808533067282
Liaoning,Tieling,Liaoning-Tieling,13.73800322651396
Neimenggu,Wuhai,Neimenggu-Wuhai,8.247189445858622
Hunan,Xiangxitujiazumiaozu,Hunan-Xiangxitujiazumiaozu,9.95221043813285
Tianjin,Hedong,Tianjin-Hedong,0.063926970402594
Shanxi,Linfen,Shanxi-Linfen,9.916743687126967
Jilin,Jilin,Jilin-Jilin,9.223728702248916
Chongqing,Jiangjin,Chongqing-Jiangjin,20.59990569486959
Chongqing,Fuling,Chongqing-Fuling,20.3706487994089
Beijing,Haidian,Beijing-Haidian,35.04397145457703
Hebei,Qinhuangdao,Hebei-Qinhuangdao,21.510423734781085
Guangxi,Guilin,Guangxi-Guilin,11.923734010160029
Heilongjiang,Qitaihe,Heilongjiang-Qitaihe,8.83298880244469
Hainan,Haikou,Hainan-Haikou,19.26643747046607
Chongqing,Qijiang,Chongqing-Qijiang,22.480696798097405
Guangdong,Zhaoqing,Guangdong-Zhaoqing,12.642325479104844
Gansu,Wuwei,Gansu-Wuwei,12.073513576623318
Yunnan,Puer,Yunnan-Puer,5.193134262554265
Ningxia,Wuzhong,Ningxia-Wuzhong,4.656463104223009
Guangxi,Liuzhou,Guangxi-Liuzhou,9.357482091905762
Henan,Zhengzhou,Henan-Zhengzhou,42.640429342568154
Yunnan,Kunming,Yunnan-Kunming,14.590613603115418
Chongqing,Dianjiang,Chongqing-Dianjiang,29.038296043886174
Chongqing,Shapingba,Chongqing-Shapingba,33.61665344567408
Jilin,Songyuan,Jilin-Songyuan,9.267580911406501
Fujian,Xiamen,Fujian-Xiamen,19.13489912011424
Chongqing,Liangping,Chongqing-Liangping,23.08185119367056
Gansu,Jiayuguan,Gansu-Jiayuguan,4.92957669245297
Henan,Luoyang,Henan-Luoyang,22.510556259164904
Hainan,Dingan,Hainan-Dingan,21.153176229699532
Beijing,Miyun,Beijing-Miyun,8.901966555685108
Sichuan,Nanchong,Sichuan-Nanchong,26.09237643935116
Chongqing,Wushan,Chongqing-Wushan,9.925918792979163
Shanxi,Yanan,Shanxi-Yanan,5.643817852451668
Neimenggu,Bayannaoer,Neimenggu-Bayannaoer,18.093914218948814
Jilin,Siping,Jilin-Siping,12.021157666712408
Jiangxi,Jiujiang,Jiangxi-Jiujiang,14.53260847720536
Zhejiang,Jinhua,Zhejiang-Jinhua,16.99925660967135
Hainan,Qiongzhonglizuandmiaozu,Hainan-Qiongzhonglizuandmiaozu,3.472600425928255
Shandong,Linyi,Shandong-Linyi,33.80105887133787
Anhui,Maanshan,Anhui-Maanshan,51.81761146699403
Henan,Kaifeng,Henan-Kaifeng,45.79209562818645
Neimenggu,Chifeng,Neimenggu-Chifeng,10.116508686036353
Jiangsu,Suzhou,Jiangsu-Suzhou,53.677599289323915
Jiangsu,Nanjing,Jiangsu-Nanjing,51.39774615488369
Yunnan,Qujing,Yunnan-Qujing,13.843931204452714
