prov,city,loss,loss_ratio
Jiangsu,Xuzhou,359012.44660525,85.38199469002498
Shanxi,Taiyuan,9418.778909993549,16.45084596838084
Hubei,Wuhan,24365.931402351023,18.362508556464963
Sichuan,Chengdu,73213.80973851624,30.099334007902307
Beijing,Miyun,25002.707333408558,25.597192466220157
Beijing,Mentougou,13486.446393622631,10.363070584042806
Beijing,Fengtai,12206.015584146342,3.654343159830933
Beijing,Chaoyang,25039.7226701827,6.569210798607397
Beijing,Huairou,6226.301336435564,8.191312070784614
Beijing,Xicheng,24584.80380015575,4.528243892912236
Beijing,Haidian,36213.83781022334,8.11795680469415
Beijing,Tongzhou,94655.38585021331,18.413238164001157
Beijing,Shunyi,27722.82184770863,11.76063011563179
Beijing,Changping,50060.215241161655,12.019815774664748
Beijing,Daxing,32599.184950076316,10.551684067645464
