id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county
609158,海洋明珠,石家庄,石家庄周边,威海,2009,高层,长江路,121.622741,36.81001161,1.0,30.0,,3753,公寓住宅,民用,7.2,12,0.0,6190.0,,,
609304,维利亚花园皇冠假日行馆,石家庄,石家庄周边,威海,2012,多层,长江路,121.6253786,36.80661818,,30.0,,22,公寓住宅,民用,7.1,12,0.0,3600.0,,,
609543,万安和府,石家庄,石家庄周边,威海,2005,多层,迎宾路,122.4301166,36.87437831,,30.0,,24,公寓住宅,民用,7.0,12,0.0,6105.0,,,
609825,华润威海湾九里,石家庄,石家庄周边,威海,2016,多层|高层,海滨中路,122.1372051,37.47934212,1.0,30.0,,5167,公寓住宅,民用,7.9,12,0.0,4705.0,,,
609846,金海悦庭(别墅),石家庄,石家庄周边,威海,2007,低层,环海路170-20号,122.110264,37.5455597,,50.0,,0,别墅,民用,7.4,12,0.0,14166.0,,,
609877,金海悦庭,石家庄,石家庄周边,威海,2018,高层,环海路170-20号,122.11026,37.54555375,1.0,40.0,,18,公寓住宅,民用,7.4,12,0.0,14400.0,,,
619731,红龙街西二街32号小区,三亚,天涯,红塘湾,2000,多层,红龙街西二街32号,109.3261714,18.30470615,,30.0,,0,公寓住宅,民用,7.0,12,0.0,8800.0,,,
619951,三美湾,三亚,崖州,崖洲湾,2006,低层,南山风景区,109.2030742,18.29350015,,40.0,,0,别墅,民用,6.3,12,0.0,50000.0,,,
620192,国安七星海岸,三亚,三亚周边,万宁,,多层,滨海大道,110.3334351,18.67942342,,,,0,公寓住宅,民用,6.8,12,0.0,21862.0,,,
620232,保利半岛1号,三亚,三亚周边,万宁,,小高层|高层,435县道,110.3309506,18.67712255,,54.0,450000.0,1,公寓住宅,民用,7.2,12,0.0,22413.0,,,
666297,朋家公寓,天津,天津周边,烟台,2010,小高层,商业街,121.0441139,36.59832453,,,,0,酒店,商用,,12,,,,,
668270,海关街小区,天津,天津周边,烟台,2007,多层,海关街,121.3951769,37.54450967,1.0,30.0,,30,公寓住宅,民用,7.4,12,0.0,13900.0,,,
668448,曦岛度假公寓,天津,天津周边,烟台,2000,多层,海景路9号,121.2269667,36.69425335,1.0,30.0,,0,商住楼,商用,7.0,12,0.0,4800.0,,,
668480,新城璞樾园著(公寓住宅),天津,天津周边,烟台,2021,多层,芝罘岛路,121.3604597,37.61686845,,30.0,,900,公寓住宅,民用,6.9,12,0.0,15700.0,,,
668481,新城璞樾园著(别墅),天津,天津周边,烟台,2021,低层,芝罘岛路,121.3598492,37.61792247,,35.0,,0,别墅,民用,6.8,12,0.0,17600.0,,,
669269,高尔夫住宅小区,天津,天津周边,烟台,2014,低层,烟威高速路,121.6957756,37.45934965,,50.0,,0,别墅,民用,6.4,12,0.0,7272.0,,,
